"","id_grid","X","id_discom","id_subdiv","x","y","area_intersection","id_intersect","area_subdiv","area_discom","weight_in_subdiv","weight_in_discom","area_grid","weight_in_grid"
"112","PATPARGANJ",33,"BRPL","Preet Vihar",-1049250.15466652,3268653.44994955,131146.547628233,56,56404279.9631173,770007528.14153,0.00232511695413877,0.000170318526553585,29965909.7105686,0.00437652482086934
"113","PATPARGANJ",90,"BYPL","Preet Vihar",-1046193.23444163,3268039.13208242,26583491.6763757,119,56404279.9631173,186262579.403726,0.471302739681433,0.14272051724762,29965909.7105686,0.88712446687377
"114","PATPARGANJ",95,"BYPL","Defence Colony",-1048052.51792114,3266679.66523253,243467.757592112,116,48638677.7079862,186262579.403726,0.00500564096445689,0.00130712115322098,29965909.7105686,0.00812482450703787
"115","ROHINI",46,"BRPL","Patel Nagar",-1063743.69204925,3276758.44888923,2838248.54952963,37,55165059.5244254,770007528.14153,0.0514501130606583,0.00368600103998977,73018882.4782576,0.038870062827581
"116","ROHINI",135,"NDPL","Saraswati Vihar",-1065227.70029461,3282622.26322254,35044352.9481871,133,154625990.987483,529592854.173835,0.226639471956716,0.0661722541608993,73018882.4782576,0.479935487353179
"117","ROHINI",34,"BRPL","Punjabi Bagh",-1065567.89582804,3278166.86878665,15649345.3772971,32,74961537.7780212,770007528.14153,0.208764999240524,0.0203236264651437,73018882.4782576,0.214319157540612
"118","ROHINI",140,"NDPL","Narela",-1063960.94393903,3286161.23853197,13736162.4511017,127,273957195.070175,529592854.173835,0.0501398127090003,0.0259372126018016,73018882.4782576,0.18811794956177
"119","ROHINI",153,"NDPL","Punjabi Bagh",-1064481.02957905,3279568.86414377,5750773.15214212,142,74961537.7780212,529592854.173835,0.0767163177624707,0.0108588571519027,73018882.4782576,0.0787573427168581
"120","SARITA VIHAR",7,"BRPL","Preet Vihar",-1045723.51128063,3262240.55871559,2036.52370628877,54,56404279.9631173,770007528.14153,3.61058364297967e-05,2.64481012439459e-06,38840512.7349481,5.24329768812845e-05
"121","SARITA VIHAR",71,"BYPL","Preet Vihar",-1045919.36903759,3263383.19200125,1099517.92171889,117,56404279.9631173,186262579.403726,0.0194935193293463,0.00590305323398145,38840512.7349481,0.0283085326195903
"122","SARITA VIHAR",64,"BYPL","Defence Colony",-1046771.61574431,3263120.8385943,1490312.93992574,114,48638677.7079862,186262579.403726,0.0306404904523348,0.00800113981400137,38840512.7349481,0.0383700634977658
"123","SARITA VIHAR",21,"BRPL","Defence Colony",-1046966.00807409,3261512.75958188,6969996.32112841,52,48638677.7079862,770007528.14153,0.143301517425585,0.00905185477595395,38840512.7349481,0.179451707259696
"124","SARITA VIHAR",23,"BRPL","Kalkaji",-1045762.23287081,3256962.83946239,29278649.0284688,58,67188380.9448394,770007528.14153,0.435769527658452,0.0380238477656641,38840512.7349481,0.753817263646067
"125","SHALIMARBAGH",150,"NDPL","Civil Lines",-1055023.6345423,3285677.816343,3297436.63080185,148,59705912.3093206,529592854.173835,0.0552279749737129,0.00622636163765059,91173957.3034005,0.0361664309450662
"126","SHALIMARBAGH",25,"BRPL","Punjabi Bagh",-1061120.16563531,3277987.84622489,792143.738801347,31,74961537.7780212,770007528.14153,0.0105673357602011,0.00102874804446814,91173957.3034005,0.00868826759559555
"127","SHALIMARBAGH",145,"NDPL","Saraswati Vihar",-1059315.37762507,3280741.85604105,21570376.1347375,132,154625990.987483,529592854.173835,0.139500325895946,0.0407301117542216,91173957.3034005,0.236584840372317
"128","SHALIMARBAGH",143,"NDPL","Narela",-1057592.64393677,3287996.94133413,52328006.2955181,126,273957195.070175,529592854.173835,0.191007964883397,0.0988079916167861,91173957.3034005,0.573935889624552
"129","SHALIMARBAGH",149,"NDPL","Punjabi Bagh",-1061289.20910549,3278748.90708285,473340.869863225,141,74961537.7780212,529592854.173835,0.00631444983512611,0.000893782584362165,91173957.3034005,0.00519162361559106
"130","SHALIMARBAGH",138,"NDPL","Model Town",-1056564.55855229,3283410.66632656,10099603.4082081,137,23322509.042346,529592854.173835,0.43304103301538,0.0190705054432115,91173957.3034005,0.110772897293462
